Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
2012,22,Fab Melo,0,213,116,1090,132,229,0,0,47,85,102,239,29,25,113,68,145,311,0,0
2012,23,John Jenkins,0,193,98,2998,516,1102,306,699,320,374,41,265,111,67,27,130,122,1658,0,0
2012,24,Jared Cunningham,0,193,88,2733,380,835,84,244,427,566,93,294,193,219,24,251,247,1271,0,0
2012,25,Tony Wroten,0,198,93,1062,198,447,9,56,154,264,80,176,130,66,13,132,93,559,0,0
2012,26,Miles Plumlee,0,211,113,1968,262,470,1,1,125,200,235,650,45,62,87,138,269,650,0,0
2012,27,Arnett Moultrie,0,211,113,2028,441,863,28,97,232,343,175,836,100,101,85,206,139,1142,0,0
2012,28,Perry Jones,0,211,107,2030,344,659,12,43,162,239,168,467,78,44,47,125,148,862,0,0
2012,29,Marquis Teague,0,188,86,1303,145,352,26,80,85,119,17,101,191,37,11,109,91,401,0,0
2012,30,Festus Ezeli,0,211,116,1808,330,587,0,0,274,469,187,543,18,41,205,195,256,934,0,0
2013,1,Anthony Bennett,0,203,111,950,202,379,36,96,124,177,86,285,34,24,43,65,80,564,0,0
2013,2,Victor Oladipo,1,193,95,2558,406,754,48,142,257,359,207,537,175,161,56,203,248,1117,1,0
2013,3,Otto Porter,0,203,90,2077,293,588,55,155,181,241,121,457,135,94,55,85,125,822,0,1
2013,4,Cody Zeller,0,213,109,2087,399,674,0,2,359,475,188,525,92,86,87,141,177,1157,0,0
2013,5,Alex Len,0,216,118,1470,225,418,1,9,132,199,145,417,50,12,125,93,155,583,0,0
2013,6,Nerlens Noel,0,211,103,765,98,166,0,0,55,104,65,227,38,50,106,45,62,251,0,0
2013,7,Ben McLemore,0,196,88,1191,198,400,73,174,120,138,47,192,73,37,25,77,69,589,0,0
2013,8,Kentavious Caldwell-Pope,0,196,93,2114,338,814,149,439,188,250,82,392,96,123,28,100,139,1013,0,1
2013,9,Trey Burke,0,185,87,2605,436,969,133,362,226,291,43,242,416,93,33,180,126,1231,0,0
2013,10,C.J. McCollum,0,190,86,3657,767,1746,217,576,610,739,167,696,304,228,51,267,195,2361,0,1
2013,11,Michael Carter-Williams,0,198,86,1678,180,452,42,137,142,209,60,237,345,129,27,154,117,544,0,1
2013,12,Steven Adams,0,213,116,749,100,175,0,0,31,70,90,203,20,21,65,35,52,231,0,1
2013,13,Kelly Olynyk,0,213,108,1735,338,569,25,75,202,285,152,461,107,52,46,140,197,903,0,0
2013,14,Shabazz Muhammad,0,198,101,987,202,456,40,106,128,180,87,167,27,23,4,51,53,572,0,0
#2013,15,Giannis Antetokounmpo,1,211,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
#2013,16,Lucas Nogueira,0,213,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2013,17,Dennis Schroder,0,185,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,18,Shane Larkin,0,180,79,2131,256,585,101,269,147,182,35,218,245,121,6,142,111,760,0,0
#2013,19,Sergey Karasev,0,201,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,20,Tony Snell,0,201,91,2583,311,738,165,434,165,201,41,251,213,53,36,154,122,952,0,0
2013,21,Gorgui Dieng,0,211,109,2789,338,620,1,3,174,272,304,801,127,104,267,166,280,851,0,0
2013,22,Mason Plumlee,0,211,111,3652,525,915,2,10,332,569,333,1088,212,115,199,282,347,1384,0,0
2013,23,Solomon Hill,0,201,102,4030,487,1012,115,307,341,458,250,773,304,127,49,290,339,1430,0,0
